EngineDisplacementTypeId,EngineDisplacementType,EngineDisplacement
1,Nezinams,0
100,Cubic centimeters,100
200,Cubic centimeters,200
300,Cubic centimeters,300
400,Cubic centimeters,400
500,Cubic centimeters,500
600,Cubic centimeters,600
700,Cubic centimeters,700
800,Cubic centimeters,800
900,Cubic centimeters,900
1000,Cubic centimeters,1000
1100,Cubic centimeters,1100
1200,Cubic centimeters,1200
1300,Cubic centimeters,1300
1400,Cubic centimeters,1400
1500,Cubic centimeters,1500
1600,Cubic centimeters,1600
1700,Cubic centimeters,1700
1800,Cubic centimeters,1800
1900,Cubic centimeters,1900
2000,Cubic centimeters,2000
2100,Cubic centimeters,2100
2200,Cubic centimeters,2200
2300,Cubic centimeters,2300
2400,Cubic centimeters,2400
2500,Cubic centimeters,2500
2600,Cubic centimeters,2600
2700,Cubic centimeters,2700
2800,Cubic centimeters,2800
2900,Cubic centimeters,2900
3000,Cubic centimeters,3000
3100,Cubic centimeters,3100
3200,Cubic centimeters,3200
3300,Cubic centimeters,3300
3400,Cubic centimeters,3400
3500,Cubic centimeters,3500
3600,Cubic centimeters,3600
3700,Cubic centimeters,3700
3800,Cubic centimeters,3800
3900,Cubic centimeters,3900
4000,Cubic centimeters,4000
4100,Cubic centimeters,4100
4200,Cubic centimeters,4200
4300,Cubic centimeters,4300
4400,Cubic centimeters,4400
4500,Cubic centimeters,4500
4600,Cubic centimeters,4600
4700,Cubic centimeters,4700
4800,Cubic centimeters,4800
4900,Cubic centimeters,4900
5000,Cubic centimeters,5000
5100,Cubic centimeters,5100
5200,Cubic centimeters,5200
5300,Cubic centimeters,5300
5400,Cubic centimeters,5400
5500,Cubic centimeters,5500
5600,Cubic centimeters,5600
5700,Cubic centimeters,5700
5800,Cubic centimeters,5800
5900,Cubic centimeters,5900
6000,Cubic centimeters,6000
6100,Cubic centimeters,6100
6200,Cubic centimeters,6200
6300,Cubic centimeters,6300
6400,Cubic centimeters,6400
6500,Cubic centimeters,6500
6600,Cubic centimeters,6600
6700,Cubic centimeters,6700
6800,Cubic centimeters,6800
6900,Cubic centimeters,6900
7000,Cubic centimeters,7000
7100,Cubic centimeters,7100
7200,Cubic centimeters,7200
7300,Cubic centimeters,7300
7400,Cubic centimeters,7400
7500,Cubic centimeters,7500
7600,Cubic centimeters,7600
7700,Cubic centimeters,7700
7800,Cubic centimeters,7800
7900,Cubic centimeters,7900
8000,Cubic centimeters,8000
8100,Cubic centimeters,8100
8200,Cubic centimeters,8200
8300,Cubic centimeters,8300
8400,Cubic centimeters,8400
8500,Cubic centimeters,8500
8600,Cubic centimeters,8600
8700,Cubic centimeters,8700
8800,Cubic centimeters,8800
8900,Cubic centimeters,8900
9000,Cubic centimeters,9000
9100,Cubic centimeters,9100
9200,Cubic centimeters,9200
9300,Cubic centimeters,9300
9400,Cubic centimeters,9400
9500,Cubic centimeters,9500
9600,Cubic centimeters,9600
9700,Cubic centimeters,9700
9800,Cubic centimeters,9800
9900,Cubic centimeters,9900
10000,Cubic centimeters,10000
