TransmissionTypeId,LanguageId,Description,DisplayOrder
1,1,Nezinams,1
10,1,Manuala,1
12,1,Manuala 2 atrumi,1
13,1,Manuala 3 atrumi,1
14,1,Manuala 4 atrumi,1
15,1,Manuala 5 atrumi,1
16,1,Manuala 6 atrumi,1
17,1,Manuala 7 atrumi,1
18,1,Manuala 8 atrumi,1
19,1,Manuala 9 atrumi,1
20,1,Automats,1
21,1,Automats 1 atrumi,1
22,1,Automats 2 atrumi,1
23,1,Automats 3 atrumi,1
24,1,Automats 4 atrumi,1
25,1,Automats 5 atrumi,1
26,1,Automats 6 atrumi,1
27,1,Automats 7 atrumi,1
28,1,Automats 8 atrumi,1
29,1,Automats 9 atrumi,1
